Player,Team,Position,szn_GP_all,szn_TOI/GP_all,szn_G,szn_A,szn_SOG,szn_HIT,szn_BLK,szn_PIM,szn_FOW,l7_GP_all,l7_TOI/GP_all,l7_G,l7_A,l7_SOG,l7_HIT,l7_BLK,l7_PIM,l7_FOW,szn_GP_pp,szn_TOI/GP_pp,szn_PPP,l7_GP_pp,l7_TOI/GP_pp,l7_PPP,pos_group,T_szn_G,T_szn_A,T_szn_PPP,T_szn_SOG,T_szn_FOW,T_szn_HIT,T_szn_BLK,T_szn_PIM,T_l7_G,T_l7_A,T_l7_PPP,T_l7_SOG,T_l7_FOW,T_l7_HIT,T_l7_BLK,T_l7_PIM,Offensive_Index_szn,Banger_Index_szn,Composite_Index_szn,Offensive_Index_l7,Banger_Index_l7,Composite_Index_l7
Brian Dumoulin,L.A,D,20,0 days 00:19:24.349999998,0.0,0.31,2.78,2.01,4.64,0.62,0.0,7.0,0 days 00:18:50.571428574,0.0,0.45,1.82,0.91,5.0,0.91,0.0,,,,,,,D,19,24,50,34,50,35,62,25,28,39,50,20,50,19,68,43,35.4,40.666666666666664,36.98,37.4,43.333333333333336,39.17999999999999
Mattias Ekholm,EDM,D,21,0 days 00:20:16.142857140,0.14,0.85,6.06,2.11,6.34,0.85,0.0,7.0,0 days 00:20:58.285714284,0.0,0.41,7.77,2.04,5.72,0.82,0.0,,,,,,,D,45,63,50,89,50,37,83,33,28,36,50,93,50,43,76,40,59.4,51.0,56.879999999999995,51.4,53.0,51.879999999999995
Marcus Foligno,MIN,L,19,0 days 00:13:01.631578950,0.0,0.48,3.64,16.0,3.88,6.06,0.24,7.0,0 days 00:13:15,0.0,1.29,3.88,19.41,4.53,0.0,0.65,,,,,,,F,7,28,50,17,16,93,87,94,15,72,50,30,24,96,91,17,23.6,91.33333333333333,43.92,38.2,68.0,47.14
Casey Cizikas,NYI,C,20,0 days 00:09:44.950000002,0.31,0.62,4.0,14.46,4.31,1.85,16.0,7.0,0 days 00:08:36.571428570,0.0,0.0,3.98,12.94,4.98,0.0,10.95,,,,,,,F,24,36,50,22,84,91,91,59,15,11,50,32,78,90,93,17,43.2,80.33333333333333,54.339999999999996,37.2,66.66666666666667,46.04
Nicolas Deslauriers,PHI,L,8,0 days 00:07:48.874999998,0.0,0.0,2.88,24.95,0.96,9.6,0.0,4.0,0 days 00:08:14.749999998,0.0,0.0,1.82,27.29,1.82,9.1,0.0,,,,,,,F,7,6,50,8,13,97,18,98,15,11,50,6,14,98,55,97,16.8,71.0,33.06,19.2,83.33333333333333,38.44
Ben Chiarot,DET,D,20,0 days 00:20:56.200000002,0.14,0.43,2.87,6.59,5.87,0.86,0.0,7.0,0 days 00:21:03,0.0,0.41,2.85,7.33,8.14,0.81,0.0,,,,,,,D,45,33,50,37,50,87,79,33,28,36,50,41,50,90,91,40,43.0,66.33333333333333,50.0,41.0,73.66666666666667,50.8
Erik Haula,NSH,L,20,0 days 00:16:09,0.56,1.3,4.83,5.57,1.67,3.34,20.99,7.0,0 days 00:17:09,0.5,1.0,5.5,4.5,2.0,0.0,14.99,20.0,0 days 00:01:24.550000002,6.39,7.0,0 days 00:01:56.142857142,8.86,F,43,71,77,35,88,61,41,80,45,61,85,51,84,58,60,17,62.8,60.666666666666664,62.16,65.2,45.0,59.14
Anders Lee,NYI,L,20,0 days 00:14:56.100000,0.6,1.61,10.04,3.82,2.61,3.82,2.81,7.0,0 days 00:14:38.142857142,0.59,0.59,5.86,4.1,1.76,4.1,1.76,20.0,0 days 00:01:40.050000,1.8,7.0,0 days 00:01:29.714285712,0.0,F,46,81,25,88,45,45,68,84,51,41,8,56,37,54,54,85,57.0,65.66666666666667,59.599999999999994,38.6,64.33333333333333,46.31999999999999
Nick Jensen,OTT,D,19,0 days 00:18:02.736842106,0.17,0.52,2.45,2.97,3.5,1.05,0.0,7.0,0 days 00:17:20.142857142,0.49,0.0,1.48,2.47,1.98,0.0,0.0,,,,,,,D,51,39,50,26,50,53,39,40,85,13,50,13,50,50,16,13,43.2,44.0,43.44,42.2,26.333333333333332,37.44
Nic Dowd,WSH,C,19,0 days 00:15:07.578947370,0.21,0.84,4.38,6.89,1.88,2.92,25.89,7.0,0 days 00:15:10.999999998,0.0,1.13,4.52,5.08,0.56,4.52,27.1,,,,,,,F,18,49,50,28,91,69,48,75,15,66,50,39,92,62,17,87,47.2,64.0,52.239999999999995,52.4,55.333333333333336,53.28
Brenden Dillon,N.J,D,19,0 days 00:19:13.315789476,0.33,0.82,2.63,8.21,5.75,1.81,0.0,7.0,0 days 00:20:03.571428570,0.0,0.43,2.56,7.69,6.41,2.99,0.0,,,,,,,D,78,61,50,31,50,93,77,61,28,38,50,35,50,91,82,81,54.0,77.0,60.89999999999999,40.2,84.66666666666667,53.540000000000006
