TM,Week,Games,LiteNite,Opponents,OppOff,OffMatchUp,B2B,Away,GamesRestOfWeek,GamesROS,Key
UTA,17,4,1,"T.B, FLA, CBJ, DAL",50%,"Good [50,63,58,29]",2,3,0,27,UTA17
UTA,18,5,1,"VAN, DET, CGY, MIN, CHI",33%,"Good [32,49,40,25,21]",0,0,0,22,UTA18
UTA,19,3,0,"WSH, PHI, COL",61%,"Average [81,18,83]",0,3,0,19,UTA19
UTA,20,4,1,"CHI, MIN, CHI, PIT",31%,"Good [21,25,21,57]",2,2,0,15,UTA20
UTA,21,4,2,"DAL, VGK, ANA, L.A",45%,"Good [29,44,61,50]",2,2,0,11,UTA21
UTA,22,3,0,"EDM, WSH, L.A",57%,"Average [33,81,50]",0,1,0,8,UTA22
UTA,23,2,0,"SEA, VAN",18%,"Excellent [4,32]",0,2,0,6,UTA23
UTA,24,6,0,"EDM, NSH, CBJ, CAR, WPG, STL",45%,"Good [33,28,58,96,32,22]",2,1,0,0,UTA24
VAN,1,2,0,"CAR, EDM",64%,"Average [96,33]",0,1,0,80,VAN1
VAN,2,4,2,"STL, DAL, CHI, WSH",38%,"Good [22,29,21,81]",2,3,0,76,VAN2
VAN,3,4,0,"PIT, NSH, MTL, EDM",34%,"Good [57,28,17,33]",2,2,0,72,VAN3
VAN,4,3,0,"NYR, STL, MIN",29%,"Excellent [40,22,25]",0,2,0,69,VAN4
VAN,5,4,2,"NSH, CHI, COL, CGY",43%,"Good [28,21,83,40]",2,1,0,65,VAN5
VAN,6,3,2,"WPG, CBJ, T.B",45%,"Good [32,58,50]",1,2,0,62,VAN6
VAN,7,3,0,"FLA, DAL, CAR",63%,"Average [63,29,96]",1,1,0,59,VAN7
VAN,8,3,0,"ANA, S.J, L.A",61%,"Average [61,50,50]",2,3,0,56,VAN8
VAN,9,3,1,"CGY, UTA, MIN",39%,"Good [40,52,25]",2,1,1,53,VAN9
VAN,10,3,1,"DET, BUF, N.J",48%,"Good [49,46,50]",0,1,0,50,VAN10
VAN,11,3,1,"NYR, NYI, BOS",32%,"Good [40,39,16]",2,3,0,47,VAN11
VAN,12,2,1,"PHI, S.J",18%,"Excellent [18,50]",0,1,0,45,VAN12
VAN,13,4,2,"SEA, PHI, SEA, BOS",10%,"Excellent [4,18,4,16]",4,1,0,41,VAN13
